#{"t_start": 1776588636.8938797, "env_id": "None"}
r,l,t
-274.090699,184,248.731772
-326.943879,58,249.166772
-211.371695,112,250.003772
-274.421846,75,250.564772
-117.332643,203,252.060772
-388.630095,72,252.593772
-1392.914845,423,255.719772
-1092.776326,240,257.548772
-913.028536,220,259.248774
-122.660558,163,260.506772
-500.974267,150,261.673772
-423.56253,113,262.541772
-516.230366,150,263.634772
-1.373095,158,264.793772
-563.122271,128,265.731774
-804.30638,237,267.434772
-53.673768,108,268.201772
137.817315,156,269.313772
-770.289313,454,272.552772
-920.422807,242,274.255777
-695.408696,173,275.471772
-804.529236,136,276.428772
21.249586,142,277.419774
-414.543655,114,278.221772
-409.452295,116,279.040772
-100.689309,110,279.873772
-363.5666,75,280.431772
-1183.959509,243,282.232772
-996.548943,234,283.984772
-569.23604,198,285.475772
-1130.194023,186,286.825772
-225.953016,85,287.440774
-415.668793,112,288.243772
-1219.232754,231,289.922772
67.294465,326,292.390772
-82.563721,189,293.816772
-854.511887,236,295.618774
-53.73735,136,296.630773
808.996302,190,298.010773
-411.79138,223,299.638773
-347.743541,158,301.267772
87.203994,160,302.498772
-277.697937,214,304.155772
-1293.414795,325,306.675772
886.275582,243,308.506772
1.935924,141,309.508773
-385.673855,350,312.001772
-1759.672686,486,315.548772
-646.558981,199,317.002772
-697.825004,187,318.386772
346.775581,194,319.775772
-817.26065,186,321.076773
-454.5778,247,322.831774
-881.339649,259,324.633773
-781.448884,163,325.767773
-70.053797,166,326.952773
20.477244,105,327.736772
-711.529085,252,329.597772
-32.729142,154,330.712772
-210.728496,94,331.382773
-227.582818,171,332.583772
-40.654551,181,333.853772
-76.554576,178,335.114773
-523.684997,159,336.244774
-526.836644,114,337.064772
-376.189569,103,337.805722
-1103.218629,308,340.058722
-447.59094,263,342.006721
-761.975568,141,343.018723
-152.902979,162,344.157722
-313.430065,140,345.142721
-363.053701,114,345.944721
-111.902635,105,346.705722
656.303043,301,348.982721
-735.184287,183,350.389723
-344.854839,82,351.005722
-69.688798,82,351.621722
-485.992157,104,352.391723
-169.337539,99,353.101722
-409.579473,91,353.748722
-262.805072,135,354.714724
-486.201141,83,355.306721
-721.457572,277,357.278721
11.595794,122,358.146721
-310.687831,82,358.736722
-378.731817,188,360.071721
-485.07409,158,361.278721
0.196179,108,362.103721
-130.164912,127,363.049722
-188.876664,162,364.266726
-315.471961,103,365.025722
-591.183991,142,366.069722
-321.05232,117,366.927722
-163.360417,119,367.799722
-483.059182,126,368.723721
-577.210057,163,369.972723
-432.236915,128,370.971722
-254.706319,98,371.740722
-321.977783,106,372.562721
-101.078908,143,374.616722
-397.607988,121,375.527722
-577.781853,223,377.152722
-531.380262,134,378.118722
-1120.138784,276,380.123721
-484.395564,136,381.128723
-745.211903,124,382.032722
-75.507931,170,383.27028
783.611332,138,384.285283
-145.701849,120,385.17728
198.223254,141,386.208288
-564.312015,130,387.12728
-198.378349,245,388.86328
-221.665156,161,390.00228
-489.060562,153,391.08028
95.490616,318,393.47328
9.921717,127,394.37728
-842.187914,136,395.40228
-208.282246,125,396.356281
-2208.586335,341,398.875281
348.557347,198,400.29128
-147.700901,281,402.350282
-85.827257,149,403.45528
-88.082664,203,404.95128
-730.882548,204,406.47328
-529.069269,182,407.83428
-254.234372,121,408.728283
-370.43096,131,409.68228
-369.75135,213,411.23128
-393.133826,89,411.88428
-759.702189,95,412.57428
-397.258669,358,415.24228
-245.475619,87,415.91428
-729.621268,294,418.16328
-307.432429,86,418.82128
-98.728812,146,419.92428
-246.263943,88,420.56928
-638.49417,171,421.795281
-14.755671,160,422.923281
-391.209678,209,424.39628
-1005.607575,366,427.01528
-488.545579,284,429.087291
-473.932787,124,429.981291
-273.025231,157,431.122293
-297.31153,81,431.706291
72.145431,162,432.840291
-394.703831,66,433.310292
-316.869967,165,434.472292
-531.513182,166,435.635293
218.843823,175,436.863292
-684.603722,139,437.922291
-918.405918,176,439.301291
-411.542481,89,439.994292
56.955635,117,440.893291
-480.646533,133,441.921291
-594.630174,222,443.597292
-928.28241,380,446.356292
-339.911216,180,447.661293
-454.362913,206,450.238291
-727.384184,201,451.768291
-309.862115,238,453.570291
-394.783091,218,455.168292
-422.213803,150,456.260291
-232.777083,111,457.0652
-144.083773,126,457.987202
-747.653035,223,459.621202
-960.5476,156,460.8152
-249.243127,173,462.134202
-337.973415,203,463.6822
-153.525106,179,465.056199
-895.036642,341,467.5142
-1049.078957,261,469.3872
-366.660568,146,470.430199
-325.486571,146,471.514202
-484.69136,224,473.159202
-799.183277,261,475.091202
86.270256,140,476.1452
-922.511197,282,478.1732
-480.149869,125,479.096201
-541.23455,191,480.49946
-1155.76261,196,481.945465
-307.681929,221,483.633464
-512.90961,153,484.820461
-124.217156,165,486.088463
-1247.768609,290,488.328461
-374.927353,156,489.469461
-615.329302,122,490.359461
-751.461771,186,491.722461
-104.155356,94,492.411467
-125.695727,110,493.22246
-475.30725,95,493.925463
144.327563,159,495.122461
-619.127667,191,496.565461
-1472.828179,339,499.03046
-128.47157,102,499.750461
-971.716642,230,501.362461
-31.49611,96,502.049461
734.126686,236,503.710461
-396.085113,147,504.74546
-262.786945,126,505.70246
-1600.234552,482,509.30246
-579.449618,162,510.50746
272.016559,203,511.955461
-545.312228,160,513.091461
-297.658571,197,514.49446
-111.724137,168,515.700461
85.972673,139,516.74046
-357.011671,118,517.642461
130.663268,116,518.523463
-137.891228,106,519.338463
-937.723647,257,521.297461
-2127.221291,500,525.53846
-549.672781,165,526.745485
-566.564577,228,528.487489
-1907.725932,445,531.963485
-492.901073,179,533.35549
-611.375447,298,535.528486
-486.672914,163,536.700486
-244.811569,214,538.221487
-19.555507,154,539.348488
-170.921713,148,540.450488
-998.766218,194,541.884485
-425.507847,151,543.013488
-1742.437069,500,546.659486
-767.114157,223,548.240487
-1863.530452,500,551.920485
-750.389016,210,553.537486
-36.20237,126,554.506486
683.717169,174,555.825486
245.329837,327,558.230486
-677.39537,226,559.882486
-132.318869,276,561.910487
-315.695989,198,563.398018
-379.967917,141,564.461263
-25.980258,101,565.221267
-519.479427,102,565.987264
-663.406431,190,567.421265
-475.576786,166,568.647263
-522.613362,170,569.894263
-230.40227,112,570.720263
-513.977949,125,571.637263
7.321304,228,573.316263
-121.818837,100,574.081266
-519.414551,216,575.693262
-1092.622186,218,577.342263
-1229.773871,264,579.291264
-665.29112,111,580.075264
-393.824283,116,580.895263
-772.084342,248,582.663263
-438.132589,382,585.399263
-800.301856,229,587.046263
-234.685537,224,588.655264
-1198.177084,214,590.205263
-728.938661,192,591.555265
-414.888974,112,592.341263
83.433708,235,594.042264
-183.518373,171,595.290263
-345.233879,149,596.439936
-46.837869,261,599.306875
-1694.03035,500,603.080825
-287.246712,119,603.945775
-157.71853,104,604.696776
7.863204,94,605.375776
-747.166682,208,606.894711
-568.199083,251,608.791666
-1115.491554,298,611.049623
-449.742297,134,612.071601
11.141254,173,613.352573
-348.02501,236,615.041573
-718.747696,135,616.001512
-589.443075,90,616.637498
-2024.987354,369,619.362437
-80.416977,82,620.002324
-83.418365,153,621.174406
-407.677968,121,622.107382
-66.906772,129,623.060367
-460.001295,159,624.271346
-166.599905,124,625.168345
108.80922,111,625.966346
-1071.04464,214,627.507346
-275.180366,139,628.503355
-284.801259,113,629.316354
-160.212576,187,630.689201
297.022673,185,632.049178
-299.884705,308,634.365121
-590.75778,116,635.249097
-442.744726,193,636.673068
-261.630618,137,637.680064
-141.315108,95,638.380038
-304.801127,191,639.78701
-701.46933,237,641.56397
-271.788643,121,642.487944
-158.659893,107,643.310925
