#{"t_start": 1776592310.176137, "env_id": "None"}
r,l,t
-142.396022,142,247.166933
-461.124478,86,247.798933
-577.186199,145,248.830932
-547.836172,210,250.334932
-294.276513,94,251.013932
-490.52323,128,251.987932
-253.765956,109,252.778933
-448.678366,87,253.426933
-132.566524,201,254.901932
-306.868622,104,255.681934
-1061.278668,175,256.963933
-759.886835,150,258.030932
-98.002668,218,259.546933
-82.24796,134,260.494932
-68.734235,123,261.340932
-168.818486,159,262.518933
-483.671712,143,263.634933
-1352.689192,278,265.791933
-1028.032821,193,267.303933
-608.658556,150,268.423933
-450.96564,106,269.205933
-453.872195,203,270.658932
-710.946224,118,271.526932
-242.123042,164,272.710932
652.805718,228,274.399932
-348.463522,100,275.142937
-425.52053,110,275.950933
-347.843038,158,277.166934
-472.600843,237,278.954935
-709.580927,199,280.429933
282.013801,146,281.485933
-319.442335,153,282.618932
-611.07162,97,283.323933
-136.805148,130,284.265933
-594.550443,141,285.317933
-143.551361,158,286.506932
-626.849129,132,287.511933
-320.622769,118,288.411933
-335.878615,123,289.324933
-160.991506,98,290.090933
-418.895412,77,290.669933
-63.107091,115,291.529933
-2537.899244,500,295.066932
275.747239,121,295.910933
-587.6861,91,296.553932
-105.84468,117,297.389933
-1094.953059,244,299.150933
-465.401547,97,299.843932
-7.385659,125,302.385932
-1688.816089,393,305.121933
-218.537303,121,305.972933
-774.261682,136,306.963933
-30.786491,116,307.856932
-516.86298,117,308.766934
-71.398227,155,309.993932
-376.045075,133,311.033932
-629.769839,113,311.947933
3.270802,120,312.884933
-236.944302,71,313.426933
-2190.755526,358,316.039933
-331.257728,95,316.734934
-716.282494,123,317.600933
-675.076348,115,318.431932
-259.13679,82,319.044932
-465.81518,193,320.506933
-464.829032,97,321.234932
-703.804348,133,322.251933
-671.491834,197,323.784934
-651.415506,278,325.846932
-153.880728,104,326.574933
18.206704,278,328.529932
-2117.822499,448,331.795933
-709.697593,178,333.153933
266.843809,154,334.380933
-691.084646,146,335.501933
-460.403829,207,337.066932
-148.182256,110,337.836933
-76.278366,103,338.575933
-1212.806674,202,340.024932
203.328757,111,340.789932
-568.265772,77,341.354933
-655.083399,132,342.307932
-549.794884,165,343.504932
51.908985,134,344.494932
-488.955578,369,347.269933
-435.10225,127,348.184933
-475.071863,111,349.001935
-506.830634,220,350.608934
-1413.690433,373,353.329932
-1155.04905,317,355.809302
-1311.417938,219,357.470303
-495.919253,210,359.107116
-12.568826,105,359.88882
21.13463,142,360.936819
-890.560212,251,362.73872
-203.157493,92,363.397721
-3504.82491,500,366.95472
-2081.752986,500,370.563721
-887.186134,187,371.87872
-1118.233312,178,373.13472
-575.164033,428,376.57872
-788.162024,154,377.72472
-867.329758,192,379.172724
-63.453789,160,380.396721
-640.377958,131,381.42472
-329.314606,200,382.92972
-433.212113,111,383.739722
157.727006,168,384.959721
-1071.394035,200,386.40772
-257.82605,198,387.836721
-663.806942,115,388.71272
-237.099187,104,389.49672
-691.646278,149,390.639721
-1379.708138,187,392.06472
-788.137971,135,393.09972
-423.975852,95,393.790721
-2132.093883,500,397.456748
-1008.906673,217,399.064749
-1509.972782,313,401.49175
360.856651,180,402.889749
-689.782976,173,404.231748
-65.582973,104,405.034748
-271.918336,83,405.652749
-378.267599,104,406.39481
-171.433189,244,408.126926
-135.104318,121,408.978969
-236.238739,124,409.857021
-277.801278,79,410.425052
-1223.289352,246,412.219642
-607.98008,143,413.291642
-387.499095,85,413.895642
-66.630199,90,414.566642
-945.125458,280,416.591642
-442.049903,97,417.265641
92.778319,168,418.448642
-1281.837462,240,420.189642
23.787381,355,422.836642
-1115.977734,240,424.684642
-751.679861,200,426.248642
-1411.4884,285,428.437642
-119.46353,180,429.738642
-1206.76912,182,431.069642
91.62879,140,432.084643
-334.616226,145,433.125642
-1227.053316,242,434.9085
-484.696089,79,435.5135
-246.161675,90,436.1955
-197.853447,173,437.4885
-780.75204,173,438.7745
-977.377719,201,440.190501
21.546968,92,440.8345
-434.372727,99,441.5345
-994.545452,128,442.4255
-1732.611864,259,444.250501
-829.774582,217,445.8505
-901.162626,201,447.395502
-801.14122,223,449.062502
-1330.339911,264,451.4675
3.826721,174,452.7175
-772.1219,248,454.4865
-622.147512,140,455.474499
-382.445319,93,456.1305
-644.183829,138,457.149503
-801.466681,145,458.2665
-829.239293,206,459.846499
88.137616,105,460.6445
-575.331437,114,461.522502
-35.47963,332,463.972501
-1560.725559,265,465.9055
-664.487937,185,467.2515
-194.652744,103,468.047503
-467.816821,112,468.934502
-958.037111,364,471.7935
-111.431709,170,473.149503
-539.224783,94,473.875503
-1073.447379,188,475.2515
-381.339656,305,477.429501
-129.77783,221,479.026501
-847.132815,171,480.2345
-330.744112,124,481.147501
-214.989912,136,482.155502
-293.549115,163,483.367503
-1296.165283,300,485.564502
-2107.512638,337,487.9425
-531.978531,134,488.8975
-834.062959,103,489.624501
-1140.967451,302,491.871503
-1873.059393,382,494.855501
-451.706567,109,495.696503
-667.550548,117,496.5985
-180.620176,99,497.335501
-788.461676,171,498.5905
-1565.844067,476,502.0745
-337.287138,152,503.2165
-330.451086,160,504.4345
-497.81057,95,505.1325
-198.998518,86,505.789504
-2330.301982,500,509.5165
-1394.457316,255,511.3985
-723.043241,244,513.1895
-704.992383,170,514.440503
-562.582185,205,516.030513
-929.130425,241,517.907513
-1459.360753,261,519.880512
-969.21286,257,521.698516
-651.838058,87,522.318513
-1903.357617,340,526.070516
-392.761245,128,526.998513
-710.029804,151,528.082512
-928.889704,166,529.291513
-244.617042,96,529.982515
-682.65016,163,531.151513
-1088.562698,243,532.858513
-185.839652,113,533.680512
227.978228,202,535.149513
-542.937061,340,537.756516
-1722.402806,432,541.156515
-318.959498,95,541.910515
-773.748885,139,542.966513
-286.880203,228,544.613513
-1044.970687,208,546.117512
